1111111111111111111
1111111111111111111
1100000011100000011
1100121011001210011
1100111010001110011
1100000010000000011
1100000000000000011
1111000000000000011
1111100000000000011
1111111000000000011
1110000000000000011
1130000000100000011
1110000000100000111
1110000001100000111
1110000011100000111
1111311111111311111
1111111111111111111
-
0,1,0,3
6,0,0,3
12,0,1,2
14,1,1,2
20,0,2,1
30,0,0,8
40,0,1,2
-
2,1,1,3
6,0,1,3
12,2,2,3
20,1,0,5
22,0,0,5
26,2,0,5
38,1,0,10
44,2,0,10
-
2,1,1,6
6,0,1,7
12,2,2,6
20,1,0,8
22,0,0,8
26,2,0,8
38,1,0,14
44,2,0,14
48,0,0,14
